"GTFS.Stop.ID","Station.ID","Line","Stop.Name","Borough","GTFS.Latitude","GTFS.Longitude","Georeference"
"D43",58,"Sea Beach / West End / Culver / Brighton","Coney Island-Stillwell Av","Bk",40.577422,-73.981233,"POINT (-73.981233 40.577422)"
"L29",138,"Canarsie","Canarsie-Rockaway Pkwy","Bk",40.646654,-73.90185,"POINT (-73.90185 40.646654)"
"237",340,"Eastern Pky","Grand Army Plaza","Bk",40.675235,-73.971046,"POINT (-73.971046 40.675235)"
"J31",96,"Jamaica","Kosciuszko St","Bk",40.693342,-73.928814,"POINT (-73.928814 40.693342)"
"M09",113,"Myrtle Av","Knickerbocker Av","Bk",40.698664,-73.919711,"POINT (-73.919711 40.698664)"
"B17",64,"West End","71 St","Bk",40.619589,-73.998864,"POINT (-73.998864 40.619589)"
"250",345,"Eastern Pky","Crown Hts-Utica Av","Bk",40.668897,-73.932942,"POINT (-73.932942 40.668897)"
"J23",90,"Jamaica","Van Siclen Av","Bk",40.678024,-73.891688,"POINT (-73.891688 40.678024)"
"L11",122,"Canarsie","Graham Av","Bk",40.714565,-73.944053,"POINT (-73.944053 40.714565)"
"R36",32,"4th Av","36 St","Bk",40.655144,-74.003549,"POINT (-74.003549 40.655144)"
"A55",188,"8th Av - Fulton St","Euclid Av","Bk",40.675377,-73.872106,"POINT (-73.872106 40.675377)"
"D33",49,"Broadway - Brighton","Avenue J","Bk",40.625039,-73.960803,"POINT (-73.960803 40.625039)"
"245",357,"Nostrand","Beverly Rd","Bk",40.645098,-73.948959,"POINT (-73.948959 40.645098)"
"M14",100,"Jamaica","Hewes St","Bk",40.70687,-73.953431,"POINT (-73.953431 40.70687)"
"L14",125,"Canarsie","Morgan Av","Bk",40.706152,-73.933147,"POINT (-73.933147 40.706152)"
"249",344,"Eastern Pky","Kingston Av","Bk",40.669399,-73.942161,"POINT (-73.942161 40.669399)"
"J19",86,"Jamaica","Cypress Hills","Bk",40.689941,-73.87255,"POINT (-73.87255 40.689941)"
"A40",173,"8th Av - Fulton St","High St","Bk",40.699337,-73.990531,"POINT (-73.990531 40.699337)"
"L20",130,"Canarsie","Wilson Av","Bk",40.688764,-73.904046,"POINT (-73.904046 40.688764)"
"G33",289,"Crosstown","Bedford-Nostrand Avs","Bk",40.689627,-73.953522,"POINT (-73.953522 40.689627)"
"L26",135,"Canarsie","Livonia Av","Bk",40.664038,-73.900571,"POINT (-73.900571 40.664038)"
"F21",237,"6th Av - Culver","Carroll St","Bk",40.680303,-73.995048,"POINT (-73.995048 40.680303)"
"241",353,"Nostrand","President St-Medgar Evers College","Bk",40.667883,-73.950683,"POINT (-73.950683 40.667883)"
"F29",244,"6th Av - Culver","Ditmas Av","Bk",40.636119,-73.978172,"POINT (-73.978172 40.636119)"
"F35",250,"6th Av - Culver","Kings Hwy","Bk",40.603217,-73.972361,"POINT (-73.972361 40.603217)"
"R31",27,"4th Av","Atlantic Av-Barclays Ctr","Bk",40.683666,-73.97881,"POINT (-73.97881 40.683666)"
"D25",41,"Broadway - Brighton","7 Av","Bk",40.67705,-73.972367,"POINT (-73.972367 40.67705)"
"D39",54,"Broadway - Brighton","Sheepshead Bay","Bk",40.586896,-73.954155,"POINT (-73.954155 40.586896)"
"B12",59,"West End","9 Av","Bk",40.646292,-73.994324,"POINT (-73.994324 40.646292)"
"A47",180,"8th Av - Fulton St","Kingston-Throop Avs","Bk",40.679921,-73.940858,"POINT (-73.940858 40.679921)"
"N04",73,"Sea Beach","New Utrecht Av","Bk",40.624842,-73.996353,"POINT (-73.996353 40.624842)"
"A43",176,"8th Av - Fulton St","Lafayette Av","Bk",40.686113,-73.973946,"POINT (-73.973946 40.686113)"
"D37",52,"Broadway - Brighton","Avenue U","Bk",40.5993,-73.955929,"POINT (-73.955929 40.5993)"
"R35",31,"4th Av","25 St","Bk",40.660397,-73.998091,"POINT (-73.998091 40.660397)"
"G36",292,"Crosstown","Fulton St","Bk",40.687119,-73.975375,"POINT (-73.975375 40.687119)"
"423",415,"Eastern Pky","Borough Hall","Bk",40.692404,-73.990151,"POINT (-73.990151 40.692404)"
"D26",42,"Broadway - Brighton","Prospect Park","Bk",40.661614,-73.962246,"POINT (-73.962246 40.661614)"
"N05",74,"Sea Beach","18 Av","Bk",40.620671,-73.990414,"POINT (-73.990414 40.620671)"
